Location	Pre-ACA Average Monthly Enrollment	Total Monthly Medicaid/CHIP Enrollment	Percent Change
Wyoming	67518	60796	-0.1
Nebraska	244600	237608	-0.029
Oklahoma	790051	803648	0.017
Utah	294029	304178	0.035
Vermont	161081	166794	0.035
South Dakota	115501	119696	0.036
Virginia	935434	976674	0.044
Wisconsin	985531	1039577	0.055
Mississippi	637229	677630	0.063
Delaware	223324	239614	0.073
Texas	4441605	4773593	0.075
Kansas	378160	416379	0.101
Alabama	799176	883030	0.105
District of Columbia	235786	262213	0.112
South Carolina	889744	998620	0.122
Georgia	1535090	1731250	0.128
New York	5678417	6411780	0.129
Missouri	846084	977195	0.155
Minnesota	873040	1021837	0.17
Illinois	2626943	3095748	0.178
North Dakota	69980	83493	0.193
Hawaii	288357	345085	0.197
Michigan	1912009	2289460	0.197
Pennsylvania	2386046	2880219	0.207
Idaho	238150	298332	0.253
North Carolina	1595952	2010348	0.26
Iowa	493515	624062	0.265
Ohio	2341481	2985406	0.275
Massachusetts	1296359	1665877	0.285
United States	56392477	74407191	0.301
Tennessee	1244516	1636906	0.315
Indiana	1120674	1502760	0.341
New Jersey	1283851	1755847	0.368
Louisiana	1019787	1398560	0.371
Florida	3104996	4339202	0.397
Alaska	122334	171925	0.405
Arizona	1201770	1739690	0.448
New Hampshire	127082	186377	0.467
Maryland	856297	1258623	0.47
Rhode Island	190833	290809	0.524
Oregon	626356	981415	0.567
California	7755381	12209605	0.574
West Virginia	354544	569492	0.606
Washington	1117576	1800105	0.611
Montana	148974	241054	0.618
Arkansas	556851	931219	0.672
New Mexico	457678	772084	0.687
Colorado	783420	1372172	0.752
Nevada	332560	620757	0.867
Kentucky	606805	1229387	1.026
Connecticut	N/A	750009	N/A
Maine	N/A	269051	N/A
